Sl. No,State/ UTs,Name of Fairs & Festivals,Sanction Year,Amount Sanctioned,Amount Released/ Utilized
1,Assam,International Buddhist conference,2018-19,25,25
2,Assam,Rongali festival,2018-19,25,25
3,Assam,Bhogali Festival,2021-22,25,25
4,Assam,Rongoli festivals,2021-22,25,25
5,Arunachal Pradesh,(i) Tawang Festival(ii)Menchuka Adventure Festival (iii) Orange Festival Dambuk,2017-18,40,40
6,Arunachal Pradesh,Basar Confluence 3.0 Festival,2018-19,20,20
7,Arunachal Pradesh,River Tribe’s Angling Festival,2019-20,25,25
8,Arunachal Pradesh,Butterfly Meet at MIAO,2019-20,25,25
9,Arunachal Pradesh,Pedal to Pakke,2020-21,25,25
10,Arunachal Pradesh,Easterly Essence Ledum Festival,2021-22,25,25
11,Arunachal Pradesh,Orange Festival of Music and Adventure,2021-22,25,25
12,Bihar,Sonepur Fair,2019-20,25,25
13,Bihar,Rajgir Mahotsav,2019-20,25,25
14,Chandigarh,World Tourism Day,2017-18,10,10
15,Chandigarh,Chandigarh Carnival,2017-18,10,10
16,Chandigarh,Rose Festival,2017-18,10,10
17,Chandigarh,World Tourism Day,2018-19,10,10
18,Chandigarh,Chandigarh Carnival,2018-19,10,10
19,Chandigarh,Rose Festival,2018-19,10,10
20,Chandigarh,World Tourism Day,2019-20,10,10
21,Chandigarh,Chandigarh Carnival,2019-20,10,10
22,Chandigarh,Rose Festival,2019-20,10,10
23,Chandigarh,Chandigarh Carnival Festival and,2021-22,10,10
24,Chandigarh,New Year Extravaganza,2021-22,10,10
25,Chandigarh,50th Chandigarh Rose Festival,2021-22,10,10
26,Chhattisgarh,Bastar Dushehra Lokostav,2018-19,10,10
27,Chhattisgarh,Rajim Kumbh Mahotsav and Bhoramdeo Festival,2018-19,15,15
28,Chhattisgarh,National Tribal Festival,2019-20,20,20
29,Goa,Carnival Festival,2020-21,25,25
30,Goa,Shigmo Festival,2020-21,25,25
31,Goa,Carnival Festival,2021-22,25,25
32,Goa,Shigmo Festival,2021-22,25,25
33,Haryana,32nd Surajkund International Crafts Mela,2017-18,30,30
34,Haryana,Pinjore Festival,2017-18,25,25
35,Haryana,Surajkund International Crafts Mela,2018-19,30,15
36,Haryana,Mango Mela,2019-20,25,25
37,Haryana,Heritage festival,2019-20,25,25
38,Haryana,Surajkund International Crafts Mela,2019-20,30,15
39,Haryana,Surajkund International Crafts Mela,2021-22,30,15
40,Himachal Pradesh,International Kullu Dussehra Festival,2017-18,25,25
41,Himachal Pradesh,International Shivratri Festival,2018-19,25,25
42,Himachal Pradesh,International Kullu Dussehra Festival,2019-20,25,25
43,Himachal Pradesh,Shivratri Festival,2019-20,25,25
44,Himachal Pradesh,International Shivratri festival,2021-22,25,25
45,Jharkhand,Itkhori Festival,2017-18,25,25
46,Jharkhand,Bhairavnath Mahotsav,2019-20,25,25
47,Jharkhand,"Sharad Mahotsav, Nehtrahat",2019-20,25,25
48,Karnataka,Hampi Utsav,2019-20,25,25
49,Kerala,"Home Stay and Rural Tourism Travel Meet, Ernakulam, Sargalaya International Art & Craft",2017-18,10,10
50,Kerala,President Trophy Boat Race,2017-18,25,25
51,Kerala,66th Nehru Trophy Boat Race,2018-19,25,25
52,Kerala,Sargalaya International Arts and Crafts Festival,2018-19,25,25
53,Kerala,Home Stay and Rural Tourism Travel Meet by Kerala Home Stay and Tourism Society,2019-20,10,10
54,Kerala,67th Nehru Trophy Boat Race,2019-20,25,25
55,Kerala,9th Sargalaya International Arts and Crafts Festival,2019-20,15,15
56,Leh and Ladakh,Losar festival,2019-20,15,15
57,Madhya Pradesh,"Jal Mahotsav, Hanuwantia Khajuraho Dance Festival",2017-18,50,50
58,Madhya Pradesh,Pachmarhi Utsav,2018-19,10,10
59,Madhya Pradesh,Jal Mahotsav,2018-19,25,25
60,Madhya Pradesh,Khajuraho Dance Festival,2018-19,15,15
61,Madhya Pradesh,"Pachmarhi Utsav, Pachmarhi",2019-20,10,10
62,Madhya Pradesh,"Jal Mahotsav, Hanuwantia",2019-20,15,15
63,Madhya Pradesh,Khajuraho Dance Festival,2019-20,25,25
64,Madhya Pradesh,Baiga Olympics,2020-21,20,20
65,Madhya Pradesh,"Pachmarhi Utsav, Pachmarhi",2021-22,10,10
66,Madhya Pradesh,"Jal Mahotsav, Hanuwantia",2021-22,25,25
67,Madhya Pradesh,Khajuraho Dance Festival,2021-22,15,15
68,Manipur,Manipur Sangai Festival,2017-18,25,25
69,Manipur,Youth Adventure & Water Sports Festival,2017-18,25,25
70,Manipur,Sangai Festival,2019-20,25,25
71,Manipur,Youth Adventure & Water Sports festival,2019-20,25,25
72,Meghalaya,"Wangala Dance Festival, Nongkrem Dance Festival and Lasubon Festival",2017-18,50,50
73,Meghalaya,Wangala Dance Festival and Nongkrem Dance Festival,2018-19,50,50
74,Meghalaya,Wangala Dance,2019-20,25,25
75,Meghalaya,Nongkrem Dance Festival,2019-20,25,25
76,Meghalaya,Wangala Dance,2021-22,25,25
77,Meghalaya,Nongkrem Dance Festival,2021-22,25,25
78,Mizoram,Winter Festival,2017-18,25,25
79,Mizoram,Chapchar Kut,2017-18,25,25
80,Mizoram,Chapchar Kut Festival,2018-19,25,25
81,Mizoram,Anthurium Festival,2019-20,25,25
82,Mizoram,Winter Festival,2019-20,25,25
83,Mizoram,Anthurium Festival,2020-21,25,25
84,Mizoram,Winter Festival,2020-21,25,25
85,Mizoram,Anthurium Festival &,2021-22,25,25
86,Mizoram,Winter Festival,2021-22,25,25
87,Nagaland,"Sekrenyi Festival, Hornbill Festival, Rengma’sNgadah Festival",2017-18,50,50
88,Nagaland,Hornbill Festival,2019-20,25,25
89,Nagaland,Thuwu-Ni Festival,2019-20,10,10
90,Nagaland,Sukhrunye Festival,2019-20,15,15
91,Nagaland,Hornbill Festival,2021-22,20,20
92,Nagaland,The Angami’s Sekrenyi Festival,2021-22,10,10
93,Puducherry,International Yoga Festival,2018-19,15,15
94,Puducherry,Karaikal Carnival,2018-19,8,8
95,Puducherry,Yanam People’s Festival,2018-19,7,7
96,Puducherry,27th Yoga Festival at Puducherry,2021-22,15,15
97,Puducherry,Yanam People’s Festival,2021-22,7,7
98,Puducherry,Carnival Festival at Karaikal,2021-22,8,8
99,Punjab,"Shree Baba Harivallabh Sangeet Samemelan, Jalandhar Hola Mohalla at Anandpur Sahib",2017-18,20,20
100,Punjab,"Sufi Festival, Harivallabha Sangeet Samelan",2018-19,30,30
101,Punjab,Patiala Heritage Festival,2018-19,20,20
102,Punjab,Sufi festival & Hola Mohalla Festival,2019-20,50,50
103,Punjab,"Harivallabh Sangeet Samemelan, Jalandhar",2021-22,25,25
