Sl. No.,State,Name of Organization,Type of Museum,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,"Archaeological Museum, Eluru, West Godavari Dist. Department of Archaeology & Museums, Govt. of Andhra Pradesh",Existing museum,80,80,NA,NA,NA
2,Andhra Pradesh,"Bapu Museum, M G Road, Vijayawada, Krishna Distt. Department of Archaeology & Museums, Govt. of Andhra Pradesh",Existing museum,160,160,NA,NA,NA
3,Andhra Pradesh,Government of Andhra Pradesh for setting up of Padamshree Kalluri Subbarao Memorial District Archaeological Museum Anantpur,New Museum,NA,NA,NA,NA,286
4,Andhra Pradesh,"Science City of Andhra Pradesh, Govt. of Andhra Pradesh for Establishment of New Museum at Kailasgiri (Dovari Konda), Visakhapatnam, Andhra Pradesh",New Museum,NA,NA,NA,187.6,NA
5,Andhra Pradesh,"Archaeology and Museum, Govt. of Andhra Pradesh for Development of Rallabandi Subba Rao Archaeology East Godavari District, Andhra Pradesh",Exiting Museum,NA,NA,NA,200,NA
6,Total,Total,Total,240,240,NA,387.6,286
7,Arunachal Pradesh,"Siynik Museum, Bui Welfare Society, Daporjio Town, P.O. &P.S Daporjio, upper Subansiri Dist.",New Museum,68.89,NA,NA,NA,NA
8,Arunachal Pradesh,"Dept. of Cultural Affairs, Govt. of Arunachal Pradesh, for Development of District Museum, Ziro, Arunachal Pradesh",New Museum,NA,NA,NA,NA,360
9,Total,Total,Total,68.89,NA,NA,NA,360
10,Goa,"Museum of Christian Art, Goa, Annex Convent of Santa Monica, Old Goa",Existing museum,NA,100,NA,NA,NA
11,Total,Total,Total,NA,100,NA,NA,NA
12,Gujarat,"Rajkot Rajya Foundation, Rajit Villas Palace, Palace Road, Rajkot, Gujarat",New Museum,NA,250,NA,125,125
13,Total,Total,Total,NA,250,NA,125,125
14,Himachal Pradesh,"Dept. of Language and Culture Govt. of Himachal Pradesh part of 1st installment for Degitization, Design, Modificaiton, Dvelopment of Bantony Castle Shimla HP",Existing Museum,NA,NA,NA,333.87,NA
15,Total,Total,Total,NA,NA,NA,333.87,NA
16,Haryana,"NSG Wives Welfare Association (NWYA), Manesar, Gurgaon",Existing museum,NA,NA,27.73,NA,NA
17,Total,Total,Total,NA,NA,27.73,NA,NA
18,Karnataka,"Shivappa Nayaka Museum & Research Bureau, Sri Bekkiinakalmatha, Karnataka",New Museum,NA,NA,NA,75,NA
19,Karnataka,"Indian Music Experience Trust, MLR Convention Cenre Brigade Millennium, JP Nagar , Bangalore",New Museum,115,NA,NA,NA,NA
20,Total,Total,Total,115,NA,NA,75,NA
21,Kerala,"GALAXY, Karaunasai Road, Velland , P.O Trivandrum",New Museum,NA,50,50,NA,NA
22,Total,Total,Total,NA,50,50,NA,NA
23,Ladakh,"Deskid Cultural and Welfare Society, Deskid, Gonpa, Ladakh",New Museum,217.52,NA,NA,108.76,NA
24,Total,Total,Total,217.52,NA,NA,108.76,NA
25,Madhya Pradesh,"Gujari Mahal Museum, Gwalior, Madhya Pradesh (Govt. of Madhya Pradesh",Existing museum,NA,NA,78,NA,NA
26,Madhya Pradesh,"Madhya Pradesh heritage Development Trust, Archaeology, Archives and Museum, MP, Banganga Road Bhopal for setting up Museum of Local Archaeological Museum, Sironj, Vidisha",New Museum,NA,NA,NA,22.9,NA
